timestamp,timestamp_nsec,satellites_visible,satellites_used,status
1754911229.508436,1754911229508436061,26,25,18
1754911229.5284925,1754911229528492445,26,25,18
1754911229.5484262,1754911229548426217,26,25,18
1754911229.568742,1754911229568742024,26,25,18
1754911229.5899951,1754911229589995073,26,25,18
1754911229.6087968,1754911229608796872,26,25,18
1754911229.6285098,1754911229628509868,26,25,18
1754911229.6483724,1754911229648372367,26,25,18
1754911229.668372,1754911229668371899,26,25,18
1754911229.6898646,1754911229689864749,26,25,18
1754911229.7084198,1754911229708419827,26,25,18
1754911229.728459,1754911229728458792,26,25,18
1754911229.7486494,1754911229748649416,26,25,18
1754911229.7686462,1754911229768646220,26,25,18
1754911229.7899868,1754911229789986730,26,25,18
1754911229.8085442,1754911229808544068,26,25,18
1754911229.8283374,1754911229828337350,26,25,18
1754911229.8483849,1754911229848384960,26,25,18
1754911229.8685951,1754911229868595161,26,25,18
1754911229.8888211,1754911229888821128,26,25,18
1754911229.9085987,1754911229908598727,26,25,18
1754911229.9285104,1754911229928510501,26,25,18
1754911229.9487796,1754911229948779702,26,25,18
1754911229.968842,1754911229968842051,26,25,18
1754911229.9990816,1754911229999081572,26,25,18
1754911230.0106306,1754911230010630547,26,25,18
1754911230.1086712,1754911230108671139,26,26,18
1754911230.1285465,1754911230128546469,26,26,18
1754911230.1486566,1754911230148656541,26,26,18
1754911230.1686447,1754911230168644760,26,26,18
1754911230.1902134,1754911230190213387,26,26,18
1754911230.2088625,1754911230208862659,26,26,18
1754911230.228782,1754911230228781954,26,26,18
1754911230.2485301,1754911230248530223,26,26,18
1754911230.2683773,1754911230268377229,26,26,18
1754911230.2901146,1754911230290114568,26,26,18
1754911230.308479,1754911230308479092,26,26,18
1754911230.3282971,1754911230328297082,26,26,18
1754911230.3487267,1754911230348726696,26,26,18
1754911230.368776,1754911230368776165,26,26,18
1754911230.390207,1754911230390207088,26,26,18
1754911230.4086533,1754911230408653215,26,26,18
1754911230.4283762,1754911230428376168,26,26,18
1754911230.4483066,1754911230448306655,26,26,18
1754911230.4683678,1754911230468367728,26,26,18
1754911230.4905083,1754911230490508325,26,26,18
1754911230.5088108,1754911230508810853,26,26,18
1754911230.52877,1754911230528769952,26,26,18
1754911230.548628,1754911230548627974,26,26,18
1754911230.5685518,1754911230568551833,26,26,18
1754911230.5889595,1754911230588959493,26,26,18
1754911230.6084425,1754911230608442465,26,26,18
1754911230.6285117,1754911230628511765,26,26,18
1754911230.64882,1754911230648819926,26,26,18
1754911230.668883,1754911230668883135,26,26,18
1754911230.6902409,1754911230690240775,26,26,18
1754911230.708879,1754911230708879004,26,26,18
1754911230.7287133,1754911230728713290,26,26,18
1754911230.748522,1754911230748522096,26,26,18
1754911230.7687674,1754911230768767294,26,26,18
1754911230.7890153,1754911230789015273,26,26,18
1754911230.8087034,1754911230808703314,26,26,18
1754911230.828801,1754911230828800807,26,26,18
1754911230.8486884,1754911230848688273,26,26,18
1754911230.8686295,1754911230868629532,26,26,18
1754911230.8889499,1754911230888949804,26,26,18
1754911230.9087152,1754911230908715161,26,26,18
1754911230.9282854,1754911230928285299,26,26,18
1754911230.9483807,1754911230948380805,26,26,18
1754911230.9684384,1754911230968438350,26,26,18
1754911230.9983375,1754911230998337471,26,26,18
1754911231.0118673,1754911231011867326,26,26,18
1754911231.1088643,1754911231108864230,26,25,18
1754911231.1285298,1754911231128529801,26,25,18
1754911231.14874,1754911231148740170,26,25,18
1754911231.168679,1754911231168679027,26,25,18
1754911231.188927,1754911231188926989,26,25,18
1754911231.2087007,1754911231208700685,26,25,18
1754911231.2284775,1754911231228477561,26,25,18
1754911231.2483785,1754911231248378446,26,25,18
1754911231.2683363,1754911231268336404,26,25,18
1754911231.2887325,1754911231288732594,26,25,18
1754911231.3085864,1754911231308586469,26,25,18
1754911231.3284874,1754911231328487375,26,25,18
1754911231.3486083,1754911231348608302,26,25,18
1754911231.3685863,1754911231368586282,26,25,18
1754911231.3886974,1754911231388697379,26,25,18
1754911231.4085562,1754911231408556178,26,25,18
1754911231.4285407,1754911231428540719,26,25,18
1754911231.4485002,1754911231448500148,26,25,18
1754911231.4686248,1754911231468624717,26,25,18
1754911231.4900806,1754911231490080668,26,25,18
1754911231.5084116,1754911231508411751,26,25,18
1754911231.5283127,1754911231528312584,26,25,18
1754911231.548285,1754911231548284930,26,25,18
1754911231.568329,1754911231568329037,26,25,18
1754911231.58877,1754911231588769806,26,25,18
1754911231.608773,1754911231608772981,26,25,18
1754911231.6285858,1754911231628585872,26,25,18
1754911231.6484332,1754911231648433270,26,25,18
1754911231.6685796,1754911231668579601,26,25,18
1754911231.6887736,1754911231688773571,26,25,18
1754911231.7084675,1754911231708467481,26,25,18
1754911231.7283783,1754911231728378242,26,25,18
1754911231.748525,1754911231748525005,26,25,18
1754911231.7686458,1754911231768645833,26,25,18
1754911231.7897959,1754911231789795930,26,25,18
1754911231.8087916,1754911231808791719,26,25,18
1754911231.8285675,1754911231828567602,26,25,18
1754911231.8484576,1754911231848457479,26,25,18
1754911231.8683844,1754911231868384440,26,25,18
1754911231.8887894,1754911231888789456,26,25,18
1754911231.908952,1754911231908952107,26,25,18
1754911231.9286115,1754911231928611579,26,25,18
1754911231.9486465,1754911231948646580,26,25,18
1754911231.9687276,1754911231968727652,26,25,18
1754911231.9993927,1754911231999392816,26,25,18
1754911232.01049,1754911232010489993,26,25,18
1754911232.1086376,1754911232108637631,26,26,18
1754911232.128787,1754911232128787079,26,26,18
1754911232.1486485,1754911232148648414,26,26,18
1754911232.168589,1754911232168589024,26,26,18
1754911232.1902535,1754911232190253523,26,26,18
1754911232.2087219,1754911232208721975,26,26,18
1754911232.2286136,1754911232228613702,26,26,18
1754911232.2489035,1754911232248903502,26,26,18
1754911232.2689376,1754911232268937511,26,26,18
1754911232.2888896,1754911232288889603,26,26,18
1754911232.3083658,1754911232308365811,26,26,18
1754911232.3282974,1754911232328297413,26,26,18
1754911232.3482711,1754911232348271248,26,26,18
1754911232.3686042,1754911232368604221,26,26,18
1754911232.3903594,1754911232390359326,26,26,18
1754911232.4086635,1754911232408663603,26,26,18
1754911232.428431,1754911232428431035,26,26,18
1754911232.4486942,1754911232448694143,26,26,18
1754911232.4683967,1754911232468396580,26,26,18
1754911232.4903743,1754911232490374340,26,26,18
1754911232.5089016,1754911232508901693,26,26,18
1754911232.528882,1754911232528882112,26,26,18
1754911232.5489244,1754911232548924499,26,26,18
1754911232.5687246,1754911232568724581,26,26,18
1754911232.590124,1754911232590123908,26,26,18
1754911232.6086912,1754911232608691122,26,26,18
1754911232.6282508,1754911232628250940,26,26,18
1754911232.6483538,1754911232648353803,26,26,18
1754911232.6687891,1754911232668789259,26,26,18
1754911232.690207,1754911232690206894,26,26,18
1754911232.7088978,1754911232708897768,26,26,18
1754911232.728751,1754911232728750901,26,26,18
1754911232.7483678,1754911232748367707,26,26,18
1754911232.7684424,1754911232768442480,26,26,18
1754911232.7896247,1754911232789624794,26,26,18
1754911232.8086033,1754911232808603303,26,26,18
1754911232.8287988,1754911232828798680,26,26,18
1754911232.8487248,1754911232848724863,26,26,18
1754911232.8686044,1754911232868604493,26,26,18
1754911232.890021,1754911232890021147,26,26,18
1754911232.9087067,1754911232908706664,26,26,18
1754911232.9283347,1754911232928334771,26,26,18
1754911232.9483612,1754911232948361191,26,26,18
1754911232.968513,1754911232968513120,26,26,18
1754911232.9990551,1754911232999055098,26,26,18
1754911233.0100436,1754911233010043718,26,26,18
1754911233.1085777,1754911233108577622,26,25,18
1754911233.128853,1754911233128853184,26,25,18
1754911233.1487422,1754911233148742245,26,25,18
1754911233.1688066,1754911233168806528,26,25,18
1754911233.1904137,1754911233190413702,26,25,18
1754911233.2087545,1754911233208754574,26,25,18
1754911233.2286577,1754911233228657660,26,25,18
1754911233.2485223,1754911233248522385,26,25,18
1754911233.2686634,1754911233268663491,26,25,18
1754911233.2899022,1754911233289902252,26,25,18
1754911233.3088775,1754911233308877387,26,25,18
1754911233.3286111,1754911233328611168,26,25,18
1754911233.3485332,1754911233348533104,26,25,18
1754911233.3686814,1754911233368681494,26,25,18
1754911233.389999,1754911233389998894,26,25,18
1754911233.408778,1754911233408778043,26,25,18
1754911233.4285324,1754911233428532248,26,25,18
1754911233.4487147,1754911233448714741,26,25,18
1754911233.4685788,1754911233468578817,26,25,18
1754911233.4902303,1754911233490230440,26,25,18
1754911233.5086372,1754911233508637296,26,25,18
1754911233.5284548,1754911233528454796,26,25,18
1754911233.5483255,1754911233548325615,26,25,18
1754911233.5684102,1754911233568410111,26,25,18
1754911233.5900311,1754911233590031060,26,25,18
1754911233.6086855,1754911233608685601,26,25,18
1754911233.6285365,1754911233628536489,26,25,18
1754911233.648515,1754911233648514905,26,25,18
1754911233.6685987,1754911233668598626,26,25,18
1754911233.6901884,1754911233690188503,26,25,18
1754911233.7086835,1754911233708683513,26,25,18
1754911233.728411,1754911233728410865,26,25,18
1754911233.7485418,1754911233748541729,26,25,18
1754911233.768698,1754911233768697945,26,25,18
1754911233.7899857,1754911233789985717,26,25,18
1754911233.8086014,1754911233808601261,26,25,18
1754911233.828912,1754911233828911966,26,25,18
1754911233.8484468,1754911233848446834,26,25,18
1754911233.8684921,1754911233868492119,26,25,18
1754911233.8902466,1754911233890246734,26,25,18
1754911233.908822,1754911233908821948,26,25,18
1754911233.9286938,1754911233928693798,26,25,18
1754911233.9485812,1754911233948581223,26,25,18
1754911233.9686334,1754911233968633407,26,25,18
1754911233.9996557,1754911233999655819,26,25,18
1754911234.01056,1754911234010560128,26,25,18
1754911234.109005,1754911234109004908,24,24,18
1754911234.1287234,1754911234128723349,24,24,18
1754911234.148596,1754911234148596027,24,24,18
1754911234.1685038,1754911234168503806,24,24,18
1754911234.1886468,1754911234188646819,24,24,18
1754911234.208689,1754911234208688867,24,24,18
1754911234.2284443,1754911234228444286,24,24,18
1754911234.2487054,1754911234248705370,24,24,18
1754911234.268562,1754911234268562062,24,24,18
1754911234.2898042,1754911234289804288,24,24,18
1754911234.3084745,1754911234308474461,24,24,18
1754911234.3284035,1754911234328403491,24,24,18
1754911234.34836,1754911234348360047,24,24,18
1754911234.3686516,1754911234368651575,24,24,18
1754911234.3901968,1754911234390196698,24,24,18
1754911234.4086833,1754911234408683258,24,24,18
1754911234.4285693,1754911234428569207,24,24,18
1754911234.448543,1754911234448543070,24,24,18
1754911234.4683466,1754911234468346655,24,24,18
1754911234.4900517,1754911234490051862,24,24,18
1754911234.5087101,1754911234508710204,24,24,18
1754911234.5287812,1754911234528781214,24,24,18
1754911234.5485673,1754911234548567289,24,24,18
1754911234.5685413,1754911234568541360,24,24,18
1754911234.5900118,1754911234590011726,24,24,18
1754911234.6084511,1754911234608451160,24,24,18
1754911234.628318,1754911234628318054,24,24,18
1754911234.6483023,1754911234648302310,24,24,18
1754911234.668312,1754911234668312048,24,24,18
1754911234.6898522,1754911234689852322,24,24,18
1754911234.7086499,1754911234708649957,24,24,18
1754911234.7285063,1754911234728506300,24,24,18
1754911234.7484477,1754911234748447686,24,24,18
1754911234.768407,1754911234768407083,24,24,18
1754911234.7887962,1754911234788796234,24,24,18
1754911234.8084538,1754911234808453914,24,24,18
1754911234.8284924,1754911234828492478,24,24,18
1754911234.848508,1754911234848507900,24,24,18
1754911234.8686712,1754911234868671259,24,24,18
1754911234.8898954,1754911234889895321,24,24,18
1754911234.9087725,1754911234908772399,24,24,18
1754911234.9283378,1754911234928337788,24,24,18
1754911234.9482975,1754911234948297609,24,24,18
1754911234.9686804,1754911234968680267,24,24,18
1754911234.998788,1754911234998788005,24,24,18
1754911235.0093844,1754911235009384374,24,24,18
1754911235.1092415,1754911235109241445,23,23,18
1754911235.1286325,1754911235128632492,23,23,18
1754911235.148753,1754911235148752868,23,23,18
1754911235.1687012,1754911235168701057,23,23,18
1754911235.1902246,1754911235190224707,23,23,18
1754911235.2087429,1754911235208742933,23,23,18
1754911235.2283626,1754911235228362666,23,23,18
1754911235.2483542,1754911235248354181,23,23,18
1754911235.2682464,1754911235268246470,23,23,18
1754911235.2887998,1754911235288799748,23,23,18
1754911235.3086152,1754911235308615173,23,23,18
1754911235.3284817,1754911235328481698,23,23,18
1754911235.348582,1754911235348582081,23,23,18
1754911235.3686314,1754911235368631389,23,23,18
1754911235.3900385,1754911235390038448,23,23,18
1754911235.40825,1754911235408250082,23,23,18
1754911235.4281883,1754911235428188297,23,23,18
1754911235.448564,1754911235448563972,23,23,18
1754911235.468534,1754911235468533942,23,23,18
1754911235.4901192,1754911235490119106,23,23,18
1754911235.5084214,1754911235508421327,23,23,18
1754911235.528459,1754911235528459161,23,23,18
1754911235.548322,1754911235548321946,23,23,18
1754911235.5683591,1754911235568359136,23,23,18
1754911235.5900478,1754911235590047799,23,23,18
1754911235.6085851,1754911235608585195,23,23,18
1754911235.6287882,1754911235628788171,23,23,18
1754911235.648585,1754911235648585136,23,23,18
1754911235.668436,1754911235668436005,23,23,18
1754911235.6900039,1754911235690003844,23,23,18
1754911235.708505,1754911235708504917,23,23,18
1754911235.7282481,1754911235728248197,23,23,18
1754911235.7485855,1754911235748585580,23,23,18
1754911235.768737,1754911235768737004,23,23,18
1754911235.7897716,1754911235789771555,23,23,18
1754911235.8085124,1754911235808512434,23,23,18
1754911235.828439,1754911235828438885,23,23,18
1754911235.8484204,1754911235848420310,23,23,18
1754911235.868287,1754911235868287090,23,23,18
1754911235.8897266,1754911235889726705,23,23,18
1754911235.9086545,1754911235908654525,23,23,18
1754911235.9285126,1754911235928512509,23,23,18
1754911235.9485307,1754911235948530715,23,23,18
1754911235.9685001,1754911235968500192,23,23,18
1754911235.9980745,1754911235998074452,23,23,18
1754911236.0102928,1754911236010292691,23,23,18
1754911236.1087146,1754911236108714693,22,22,18
1754911236.1285663,1754911236128566294,22,22,18
1754911236.1486468,1754911236148646819,22,22,18
1754911236.168551,1754911236168550986,22,22,18
1754911236.188848,1754911236188847960,22,22,18
1754911236.208681,1754911236208681051,22,22,18
1754911236.2289097,1754911236228909686,22,22,18
1754911236.248682,1754911236248681999,22,22,18
1754911236.2687087,1754911236268708592,22,22,18
